method,check,descriptor,d,lo,hi,p_value,n_fail,n_eligible,n_clusters,fdr_reject,abs_d
unimol,bond_lengths_within_bounds,mw,1.8318937348003719,1.6362567635147696,2.0546514968037886,0.0005,269,427,427,True,1.8318937348003719
unimol,bond_angles_within_bounds,mw,1.7560417262161392,1.5634335723866404,1.9737182720958575,0.0005,284,427,427,True,1.7560417262161392
diffdock,no_internal_clashes,mw,1.5676691026474834,1.1219138949060177,2.0527971886587943,0.0005,25,426,426,True,1.5676691026474834
unimol,no_internal_clashes,mw,1.5604070898163878,1.272614767225519,1.8682867682582007,0.0005,66,427,427,True,1.5604070898163878
diffdock,no_internal_clashes,n_rotatable_bonds,1.489399896690741,0.9911975693438189,2.103749346528368,0.0005,25,426,426,True,1.489399896690741
unimol,bond_lengths_within_bounds,n_rotatable_bonds,1.355722852602778,1.194083499745758,1.5408611556338674,0.0005,269,427,427,True,1.355722852602778
deepdock,no_internal_clashes,n_rotatable_bonds,1.3139555972251893,1.1431373517873695,1.5062954030120725,0.0005,205,427,427,True,1.3139555972251893
unimol,bond_angles_within_bounds,n_rotatable_bonds,1.3072943915950799,1.123455173511005,1.5222682456562957,0.0005,284,427,427,True,1.3072943915950799
unimol,no_internal_clashes,n_rotatable_bonds,1.2596850822225634,0.9315338507311217,1.5976500961604527,0.0005,66,427,427,True,1.2596850822225634
unimol,energy_ratio_within_threshold,n_rotatable_bonds,1.2502461255906192,1.0456958598502755,1.4735155856639324,0.0005,165,427,427,True,1.2502461255906192
unimol,energy_ratio_within_threshold,mw,1.216631064760641,1.0067770249573202,1.4450616609572442,0.0005,165,427,427,True,1.216631064760641
equibind,energy_ratio_within_threshold,n_rotatable_bonds,1.2041481733752153,0.9356509348476022,1.509340180061394,0.0005,92,426,426,True,1.2041481733752153
deepdock,energy_ratio_within_threshold,n_rotatable_bonds,1.1972116850643375,1.0347743321941913,1.376197537810742,0.0005,205,427,427,True,1.1972116850643375
tankbind,sp3_stereochemistry_preserved,n_stereocentres,1.1795014239251695,0.9791618432676326,1.393990168135908,0.0005,181,249,249,True,1.1795014239251695
equibind,no_internal_clashes,n_rotatable_bonds,1.1730335729659327,0.9078058439304578,1.4758226903009912,0.0005,86,426,426,True,1.1730335729659327
diffdock,energy_ratio_within_threshold,mw,1.1123381801018886,0.7031481852618019,1.5830136908826378,0.0005,26,426,426,True,1.1123381801018886
diffdock,energy_ratio_within_threshold,n_rotatable_bonds,1.1005382807261992,0.6072216359680406,1.6786608502714877,0.0005,26,426,426,True,1.1005382807261992
deepdock,no_volume_clash_with_protein,mw,1.0808581703967275,0.900509412208204,1.2811518621111644,0.0005,278,427,427,True,1.0808581703967275
tankbind,bond_lengths_within_bounds,mw,0.9975560695346717,0.6508386959881822,1.3727602395705423,0.0005,37,428,428,True,0.9975560695346717
