check,n_compared,n_agree,agreement
aromatic_ring_flatness_passes,513,512,0.9980506822612085
energy_ratio_within_threshold,513,512,0.9980506822612085
no_volume_clash_with_protein,513,513,1.0
no_clashes_with_inorganic_cofactors,513,513,1.0
no_clashes_with_organic_cofactors,513,513,1.0
no_clashes_with_protein,513,513,1.0
double_bond_flatness_passes,513,513,1.0
no_volume_clash_with_organic_cofactors,513,513,1.0
molecule_passes_rdkit_sanity_check,513,513,1.0
bond_angles_within_bounds,513,513,1.0
bond_lengths_within_bounds,513,513,1.0
double_bond_stereochemistry_preserved,513,513,1.0
sp3_stereochemistry_preserved,513,513,1.0
molecular_bonds_preserved,513,513,1.0
molecular_formula_preserved,513,513,1.0
no_internal_clashes,513,513,1.0
no_volume_clash_with_inorganic_cofactors,513,513,1.0
