check,descriptor,n_ran,n_failed,failure_rate,mean_failing,mean_passing,cohens_d,abs_d
double_bond_stereochemistry_preserved,clogp,2134,30,0.014058106841611996,4.944028999999998,1.0630369581749064,1.311395077928417,1.311395077928417
sp3_stereochemistry_preserved,n_stereocentres,2134,456,0.21368322399250234,4.723684210526316,1.7407628128724673,1.0870554037644014,1.0870554037644014
double_bond_stereochemistry_preserved,n_rotatable_bonds,2134,30,0.014058106841611996,9.2,5.27851711026616,1.0717029361438215,1.0717029361438215
double_bond_flatness_passes,formal_charge,2134,18,0.008434864104967198,0.2222222222222222,0.017013232514177693,1.0694461729404319,1.0694461729404319
double_bond_flatness_passes,clogp,2134,18,0.008434864104967198,4.238352222222221,1.0910492863894152,1.0559094584102906,1.0559094584102906
energy_ratio_within_threshold,n_rotatable_bonds,2134,707,0.331302717900656,7.502121640735502,4.259285213735109,0.9659452243563411,0.9659452243563411
no_internal_clashes,n_rotatable_bonds,2134,608,0.2849109653233365,7.592105263157895,4.433813892529489,0.9285751457725285,0.9285751457725285
double_bond_flatness_passes,mw,2134,18,0.008434864104967198,514.2752222222222,371.409418241966,0.8773482160880858,0.8773482160880858
double_bond_flatness_passes,n_aliphatic_rings,2134,18,0.008434864104967198,1.7222222222222223,0.8865784499054821,0.8763835307943473,0.8763835307943473
no_internal_clashes,mw,2134,608,0.2849109653233365,467.6718552631579,334.74101900393197,0.8749309551549284,0.8749309551549284
no_internal_clashes,heavy_atoms,2134,608,0.2849109653233365,31.776315789473685,22.851900393184795,0.860172817388928,0.860172817388928
double_bond_stereochemistry_preserved,heavy_atoms,2134,30,0.014058106841611996,34.766666666666666,25.26093155893536,0.8583888320412776,0.8583888320412776
sp3_stereochemistry_preserved,hbd,2134,456,0.21368322399250234,4.995614035087719,3.025625744934446,0.844559637440274,0.844559637440274
double_bond_flatness_passes,heavy_atoms,2134,18,0.008434864104967198,34.55555555555556,25.31663516068053,0.8324673655571395,0.8324673655571395
double_bond_flatness_passes,n_rotatable_bonds,2134,18,0.008434864104967198,8.277777777777779,5.308601134215501,0.8072512177290317,0.8072512177290317
energy_ratio_within_threshold,mw,2134,707,0.331302717900656,454.76151202263094,331.91513244569035,0.8040917284889093,0.8040917284889093
energy_ratio_within_threshold,heavy_atoms,2134,707,0.331302717900656,30.813295615275813,22.709880868955853,0.775014567206322,0.775014567206322
sp3_stereochemistry_preserved,tpsa,2134,456,0.21368322399250234,173.3009210526316,114.63469010727057,0.756350912552757,0.756350912552757
double_bond_stereochemistry_preserved,mw,2134,30,0.014058106841611996,493.9392666666667,370.88455560836513,0.7562463413409322,0.7562463413409322
sp3_stereochemistry_preserved,hba,2134,456,0.21368322399250234,8.581140350877194,5.725268176400477,0.7450958656615544,0.7450958656615544
sp3_stereochemistry_preserved,fraction_csp3,2134,456,0.21368322399250234,0.5731247598538949,0.3855033657335761,0.7193750188327575,0.7193750188327575
no_volume_clash_with_inorganic_cofactors,clogp,2134,16,0.007497656982193065,-0.9528274999999992,1.1332369546742223,-0.6978864486259405,0.6978864486259405
aromatic_ring_flatness_passes,n_aromatic_rings,2134,160,0.07497656982193064,2.69375,1.801418439716312,0.6782625787345927,0.6782625787345927
no_internal_clashes,n_heteroatoms,2134,608,0.2849109653233365,12.355263157894736,8.56618610747051,0.673922138968357,0.673922138968357
bond_lengths_within_bounds,mw,2134,306,0.14339268978444236,464.28580718954265,357.26905142231954,0.6730867385440978,0.6730867385440978
bond_lengths_within_bounds,heavy_atoms,2134,306,0.14339268978444236,31.630718954248366,24.350656455142232,0.6719821204836379,0.6719821204836379
energy_ratio_within_threshold,n_heteroatoms,2134,707,0.331302717900656,12.14992927864215,8.405045550105116,0.667987966916485,0.667987966916485
sp3_stereochemistry_preserved,clogp,2134,456,0.21368322399250234,-0.36761638157894583,1.521206019070323,-0.6529807170069782,0.6529807170069782
energy_ratio_within_threshold,tpsa,2134,707,0.331302717900656,160.8338613861386,110.49242466713385,0.6481164465622996,0.6481164465622996
sp3_stereochemistry_preserved,n_aliphatic_rings,2134,456,0.21368322399250234,1.361842105263158,0.766388557806913,0.643816885706204,0.643816885706204
no_volume_clash_with_inorganic_cofactors,n_rings,2134,16,0.007497656982193065,1.6875,2.7700661000944287,-0.6391428935707745,0.6391428935707745
no_internal_clashes,hba,2134,608,0.2849109653233365,8.088815789473685,5.636959370904325,0.6365386270135317,0.6365386270135317
sp3_stereochemistry_preserved,n_heteroatoms,2134,456,0.21368322399250234,12.478070175438596,8.876042908224075,0.6332280167719578,0.6332280167719578
energy_ratio_within_threshold,hba,2134,707,0.331302717900656,7.954738330975955,5.533286615276804,0.6302246296733653,0.6302246296733653
double_bond_flatness_passes,n_aromatic_rings,2134,18,0.008434864104967198,1.0555555555555556,1.8752362948960302,-0.6142919697033677,0.6142919697033677
no_internal_clashes,tpsa,2134,608,0.2849109653233365,161.3179111842105,113.56549148099607,0.6099032538169442,0.6099032538169442
aromatic_ring_flatness_passes,n_rings,2134,160,0.07497656982193064,3.70625,2.685410334346505,0.6094951837933218,0.6094951837933218
no_volume_clash_with_inorganic_cofactors,n_aromatic_rings,2134,16,0.007497656982193065,1.0625,1.874409820585458,-0.6083461426938438,0.6083461426938438
aromatic_ring_flatness_passes,heavy_atoms,2134,160,0.07497656982193064,31.49375,24.900202634245186,0.5997420630845208,0.5997420630845208
no_volume_clash_with_inorganic_cofactors,heavy_atoms,2134,16,0.007497656982193065,18.875,25.4438149197356,-0.5909366836158872,0.5909366836158872
double_bond_stereochemistry_preserved,n_aliphatic_rings,2134,30,0.014058106841611996,1.4333333333333333,0.8859315589353612,0.5735565971612686,0.5735565971612686
energy_ratio_within_threshold,rot_per_heavy_atom,2134,707,0.331302717900656,0.24972364080620893,0.18455708328711912,0.5715744998759437,0.5715744998759437
bond_angles_within_bounds,mw,2134,301,0.14104967197750704,450.7537408637875,359.7830916530279,0.5676407611531683,0.5676407611531683
energy_ratio_within_threshold,hbd,2134,707,0.331302717900656,4.3507779349363505,2.9985984583041345,0.5669583748562819,0.5669583748562819
no_clashes_with_protein,n_rotatable_bonds,2134,1785,0.8364573570759137,5.662745098039216,3.650429799426934,0.5570884326610462,0.5570884326610462
energy_ratio_within_threshold,n_stereocentres,2134,707,0.331302717900656,3.4526166902404527,1.8458304134548003,0.5526309662829555,0.5526309662829555
no_clashes_with_protein,tpsa,2134,1785,0.8364573570759137,134.3460056022409,90.47166189111749,0.5513854392927506,0.5513854392927506
bond_angles_within_bounds,heavy_atoms,2134,301,0.14104967197750704,30.564784053156146,24.5455537370431,0.5506453570811296,0.5506453570811296
no_clashes_with_protein,mw,2134,1785,0.8364573570759137,386.9233467787116,299.4301117478511,0.5464168745796237,0.5464168745796237
no_clashes_with_protein,n_heteroatoms,2134,1785,0.8364573570759137,10.15798319327731,7.025787965616046,0.5436318438802433,0.5436318438802433
aromatic_ring_flatness_passes,mw,2134,160,0.07497656982193064,453.2795437500002,366.07626950354614,0.5391630939429789,0.5391630939429789
no_volume_clash_with_inorganic_cofactors,mw,2134,16,0.007497656982193065,286.687875,373.2635868744099,-0.5305175161302828,0.5305175161302828
no_clashes_with_protein,hba,2134,1785,0.8364573570759137,6.671148459383754,4.6189111747851,0.521503357233733,0.521503357233733
no_clashes_with_protein,heavy_atoms,2134,1785,0.8364573570759137,26.315406162464985,20.68481375358166,0.5149788477572768,0.5149788477572768
double_bond_stereochemistry_preserved,n_aromatic_rings,2134,30,0.014058106841611996,1.2,1.877851711026616,-0.5081083003011487,0.5081083003011487
bond_lengths_within_bounds,n_rotatable_bonds,2134,306,0.14339268978444236,6.898692810457517,5.071663019693654,0.5030247132782297,0.5030247132782297
no_volume_clash_with_inorganic_cofactors,largest_ring_size,2134,16,0.007497656982193065,4.4375,5.651558073654391,-0.4998597901392727,0.4998597901392727
double_bond_stereochemistry_preserved,largest_ring_size,2134,30,0.014058106841611996,6.833333333333333,5.6254752851711025,0.49769793425115233,0.49769793425115233
