check,heavy_bin,n,failure_rate
sp3_stereochemistry_preserved,<20,749,0.15353805073431243
sp3_stereochemistry_preserved,20-29,714,0.21008403361344538
sp3_stereochemistry_preserved,30-39,459,0.25272331154684097
sp3_stereochemistry_preserved,40+,212,0.35377358490566035
double_bond_stereochemistry_preserved,<20,749,0.0053404539385847796
double_bond_stereochemistry_preserved,20-29,714,0.0196078431372549
double_bond_stereochemistry_preserved,30-39,459,0.0
double_bond_stereochemistry_preserved,40+,212,0.05660377358490566
bond_lengths_within_bounds,<20,749,0.04539385847797063
bond_lengths_within_bounds,20-29,714,0.16526610644257703
bond_lengths_within_bounds,30-39,459,0.21568627450980393
bond_lengths_within_bounds,40+,212,0.25943396226415094
bond_angles_within_bounds,<20,749,0.0520694259012016
bond_angles_within_bounds,20-29,714,0.17507002801120447
bond_angles_within_bounds,30-39,459,0.19607843137254902
bond_angles_within_bounds,40+,212,0.22169811320754718
no_internal_clashes,<20,749,0.12416555407209613
no_internal_clashes,20-29,714,0.2703081232492997
no_internal_clashes,30-39,459,0.40305010893246185
no_internal_clashes,40+,212,0.6462264150943396
aromatic_ring_flatness_passes,<20,749,0.030707610146862484
aromatic_ring_flatness_passes,20-29,714,0.06442577030812324
aromatic_ring_flatness_passes,30-39,459,0.12636165577342048
aromatic_ring_flatness_passes,40+,212,0.15566037735849056
double_bond_flatness_passes,<20,749,0.004005340453938585
double_bond_flatness_passes,20-29,714,0.00980392156862745
double_bond_flatness_passes,30-39,459,0.0
double_bond_flatness_passes,40+,212,0.03773584905660377
energy_ratio_within_threshold,<20,749,0.157543391188251
energy_ratio_within_threshold,20-29,714,0.34173669467787116
energy_ratio_within_threshold,30-39,459,0.4400871459694989
energy_ratio_within_threshold,40+,212,0.6745283018867925
no_clashes_with_protein,<20,749,0.7516688918558078
no_clashes_with_protein,20-29,714,0.8641456582633054
no_clashes_with_protein,30-39,459,0.8736383442265795
no_clashes_with_protein,40+,212,0.9622641509433962
no_clashes_with_organic_cofactors,<20,749,0.17356475300400534
no_clashes_with_organic_cofactors,20-29,714,0.16666666666666666
no_clashes_with_organic_cofactors,30-39,459,0.11328976034858387
no_clashes_with_organic_cofactors,40+,212,0.1509433962264151
no_clashes_with_inorganic_cofactors,<20,749,0.028037383177570093
no_clashes_with_inorganic_cofactors,20-29,714,0.047619047619047616
no_clashes_with_inorganic_cofactors,30-39,459,0.0196078431372549
no_clashes_with_inorganic_cofactors,40+,212,0.0330188679245283
no_volume_clash_with_protein,<20,749,0.49132176234979974
no_volume_clash_with_protein,20-29,714,0.5490196078431373
no_volume_clash_with_protein,30-39,459,0.5490196078431373
no_volume_clash_with_protein,40+,212,0.6745283018867925
no_volume_clash_with_organic_cofactors,<20,749,0.1348464619492657
no_volume_clash_with_organic_cofactors,20-29,714,0.0896358543417367
no_volume_clash_with_organic_cofactors,30-39,459,0.05010893246187364
no_volume_clash_with_organic_cofactors,40+,212,0.05660377358490566
no_volume_clash_with_inorganic_cofactors,<20,749,0.012016021361815754
no_volume_clash_with_inorganic_cofactors,20-29,714,0.00980392156862745
no_volume_clash_with_inorganic_cofactors,30-39,459,0.0
no_volume_clash_with_inorganic_cofactors,40+,212,0.0
