check,mw_bin,n,failure_rate
sp3_stereochemistry_preserved,<300,759,0.14888010540184454
sp3_stereochemistry_preserved,300-400,479,0.19832985386221294
sp3_stereochemistry_preserved,400-500,459,0.2178649237472767
sp3_stereochemistry_preserved,500+,437,0.33867276887871856
double_bond_stereochemistry_preserved,<300,759,0.005270092226613966
double_bond_stereochemistry_preserved,300-400,479,0.016701461377870562
double_bond_stereochemistry_preserved,400-500,459,0.013071895424836602
double_bond_stereochemistry_preserved,500+,437,0.02745995423340961
bond_lengths_within_bounds,<300,759,0.043478260869565216
bond_lengths_within_bounds,300-400,479,0.15657620041753653
bond_lengths_within_bounds,400-500,459,0.19607843137254902
bond_lengths_within_bounds,500+,437,0.2471395881006865
bond_angles_within_bounds,<300,759,0.052700922266139656
bond_angles_within_bounds,300-400,479,0.15657620041753653
bond_angles_within_bounds,400-500,459,0.20261437908496732
bond_angles_within_bounds,500+,437,0.2128146453089245
no_internal_clashes,<300,759,0.11857707509881422
no_internal_clashes,300-400,479,0.2630480167014614
no_internal_clashes,400-500,459,0.3311546840958606
no_internal_clashes,500+,437,0.5491990846681922
aromatic_ring_flatness_passes,<300,759,0.034255599472990776
aromatic_ring_flatness_passes,300-400,479,0.05636743215031315
aromatic_ring_flatness_passes,400-500,459,0.1111111111111111
aromatic_ring_flatness_passes,500+,437,0.12814645308924486
double_bond_flatness_passes,<300,759,0.0
double_bond_flatness_passes,300-400,479,0.010438413361169102
double_bond_flatness_passes,400-500,459,0.010893246187363835
double_bond_flatness_passes,500+,437,0.018306636155606407
energy_ratio_within_threshold,<300,759,0.15678524374176547
energy_ratio_within_threshold,300-400,479,0.33194154488517746
energy_ratio_within_threshold,400-500,459,0.3812636165577342
energy_ratio_within_threshold,500+,437,0.5812356979405034
no_clashes_with_protein,<300,759,0.7444005270092227
no_clashes_with_protein,300-400,479,0.8663883089770354
no_clashes_with_protein,400-500,459,0.8627450980392157
no_clashes_with_protein,500+,437,0.9359267734553776
no_clashes_with_organic_cofactors,<300,759,0.18181818181818182
no_clashes_with_organic_cofactors,300-400,479,0.1649269311064718
no_clashes_with_organic_cofactors,400-500,459,0.11982570806100218
no_clashes_with_organic_cofactors,500+,437,0.13958810068649885
no_clashes_with_inorganic_cofactors,<300,759,0.028985507246376812
no_clashes_with_inorganic_cofactors,300-400,479,0.054279749478079335
no_clashes_with_inorganic_cofactors,400-500,459,0.02832244008714597
no_clashes_with_inorganic_cofactors,500+,437,0.02288329519450801
no_volume_clash_with_protein,<300,759,0.48616600790513836
no_volume_clash_with_protein,300-400,479,0.5427974947807933
no_volume_clash_with_protein,400-500,459,0.5599128540305011
no_volume_clash_with_protein,500+,437,0.6155606407322655
no_volume_clash_with_organic_cofactors,<300,759,0.13965744400527008
no_volume_clash_with_organic_cofactors,300-400,479,0.09603340292275574
no_volume_clash_with_organic_cofactors,400-500,459,0.05228758169934641
no_volume_clash_with_organic_cofactors,500+,437,0.05491990846681922
no_volume_clash_with_inorganic_cofactors,<300,759,0.011857707509881422
no_volume_clash_with_inorganic_cofactors,300-400,479,0.010438413361169102
no_volume_clash_with_inorganic_cofactors,400-500,459,0.004357298474945534
no_volume_clash_with_inorganic_cofactors,500+,437,0.0
