check,rings_bin,n,failure_rate
sp3_stereochemistry_preserved,0,204,0.17647058823529413
sp3_stereochemistry_preserved,1,375,0.18666666666666668
sp3_stereochemistry_preserved,2,300,0.18666666666666668
sp3_stereochemistry_preserved,3,604,0.2433774834437086
sp3_stereochemistry_preserved,4+,651,0.22580645161290322
double_bond_stereochemistry_preserved,0,204,0.024509803921568627
double_bond_stereochemistry_preserved,1,375,0.010666666666666666
double_bond_stereochemistry_preserved,2,300,0.016666666666666666
double_bond_stereochemistry_preserved,3,604,0.011589403973509934
double_bond_stereochemistry_preserved,4+,651,0.013824884792626729
bond_lengths_within_bounds,0,204,0.06862745098039216
bond_lengths_within_bounds,1,375,0.058666666666666666
bond_lengths_within_bounds,2,300,0.11
bond_lengths_within_bounds,3,604,0.1672185430463576
bond_lengths_within_bounds,4+,651,0.20890937019969277
bond_angles_within_bounds,0,204,0.08333333333333333
bond_angles_within_bounds,1,375,0.07733333333333334
bond_angles_within_bounds,2,300,0.11333333333333333
bond_angles_within_bounds,3,604,0.16225165562913907
bond_angles_within_bounds,4+,651,0.1889400921658986
no_internal_clashes,0,204,0.21568627450980393
no_internal_clashes,1,375,0.144
no_internal_clashes,2,300,0.25333333333333335
no_internal_clashes,3,604,0.30629139072847683
no_internal_clashes,4+,651,0.3824884792626728
aromatic_ring_flatness_passes,0,204,0.0
aromatic_ring_flatness_passes,1,375,0.032
aromatic_ring_flatness_passes,2,300,0.05333333333333334
aromatic_ring_flatness_passes,3,604,0.08774834437086093
aromatic_ring_flatness_passes,4+,651,0.12135176651305683
double_bond_flatness_passes,0,204,0.00980392156862745
double_bond_flatness_passes,1,375,0.008
double_bond_flatness_passes,2,300,0.01
double_bond_flatness_passes,3,604,0.004966887417218543
double_bond_flatness_passes,4+,651,0.010752688172043012
energy_ratio_within_threshold,0,204,0.28921568627450983
energy_ratio_within_threshold,1,375,0.2
energy_ratio_within_threshold,2,300,0.3333333333333333
energy_ratio_within_threshold,3,604,0.347682119205298
energy_ratio_within_threshold,4+,651,0.4039938556067588
no_clashes_with_protein,0,204,0.7990196078431373
no_clashes_with_protein,1,375,0.7893333333333333
no_clashes_with_protein,2,300,0.81
no_clashes_with_protein,3,604,0.8725165562913907
no_clashes_with_protein,4+,651,0.8540706605222734
no_clashes_with_organic_cofactors,0,204,0.24509803921568626
no_clashes_with_organic_cofactors,1,375,0.152
no_clashes_with_organic_cofactors,2,300,0.17666666666666667
no_clashes_with_organic_cofactors,3,604,0.16390728476821192
no_clashes_with_organic_cofactors,4+,651,0.11367127496159754
no_clashes_with_inorganic_cofactors,0,204,0.06372549019607843
no_clashes_with_inorganic_cofactors,1,375,0.016
no_clashes_with_inorganic_cofactors,2,300,0.043333333333333335
no_clashes_with_inorganic_cofactors,3,604,0.041390728476821195
no_clashes_with_inorganic_cofactors,4+,651,0.021505376344086023
no_volume_clash_with_protein,0,204,0.5441176470588235
no_volume_clash_with_protein,1,375,0.5306666666666666
no_volume_clash_with_protein,2,300,0.5266666666666666
no_volume_clash_with_protein,3,604,0.5562913907284768
no_volume_clash_with_protein,4+,651,0.5391705069124424
no_volume_clash_with_organic_cofactors,0,204,0.16666666666666666
no_volume_clash_with_organic_cofactors,1,375,0.12
no_volume_clash_with_organic_cofactors,2,300,0.11666666666666667
no_volume_clash_with_organic_cofactors,3,604,0.08609271523178808
no_volume_clash_with_organic_cofactors,4+,651,0.05222734254992319
no_volume_clash_with_inorganic_cofactors,0,204,0.0196078431372549
no_volume_clash_with_inorganic_cofactors,1,375,0.005333333333333333
no_volume_clash_with_inorganic_cofactors,2,300,0.016666666666666666
no_volume_clash_with_inorganic_cofactors,3,604,0.008278145695364239
no_volume_clash_with_inorganic_cofactors,4+,651,0.0
