check,rotb_bin,n,failure_rate
sp3_stereochemistry_preserved,0-2,519,0.15606936416184972
sp3_stereochemistry_preserved,3-5,689,0.17561683599419448
sp3_stereochemistry_preserved,6-9,677,0.2673559822747415
sp3_stereochemistry_preserved,10+,249,0.2931726907630522
double_bond_stereochemistry_preserved,0-2,519,0.011560693641618497
double_bond_stereochemistry_preserved,3-5,689,0.002902757619738752
double_bond_stereochemistry_preserved,6-9,677,0.008862629246676515
double_bond_stereochemistry_preserved,10+,249,0.0642570281124498
bond_lengths_within_bounds,0-2,519,0.05009633911368015
bond_lengths_within_bounds,3-5,689,0.13352685050798258
bond_lengths_within_bounds,6-9,677,0.19202363367799113
bond_lengths_within_bounds,10+,249,0.23293172690763053
bond_angles_within_bounds,0-2,519,0.038535645472061654
bond_angles_within_bounds,3-5,689,0.14949201741654572
bond_angles_within_bounds,6-9,677,0.19054652880354506
bond_angles_within_bounds,10+,249,0.19678714859437751
no_internal_clashes,0-2,519,0.07129094412331406
no_internal_clashes,3-5,689,0.22786647314949202
no_internal_clashes,6-9,677,0.38847858197932056
no_internal_clashes,10+,249,0.606425702811245
aromatic_ring_flatness_passes,0-2,519,0.05202312138728324
aromatic_ring_flatness_passes,3-5,689,0.06821480406386067
aromatic_ring_flatness_passes,6-9,677,0.08714918759231906
aromatic_ring_flatness_passes,10+,249,0.10843373493975904
double_bond_flatness_passes,0-2,519,0.0
double_bond_flatness_passes,3-5,689,0.008708272859216255
double_bond_flatness_passes,6-9,677,0.005908419497784343
double_bond_flatness_passes,10+,249,0.0321285140562249
energy_ratio_within_threshold,0-2,519,0.1001926782273603
energy_ratio_within_threshold,3-5,689,0.2539912917271408
energy_ratio_within_threshold,6-9,677,0.4446085672082718
energy_ratio_within_threshold,10+,249,0.7188755020080321
no_clashes_with_protein,0-2,519,0.7341040462427746
no_clashes_with_protein,3-5,689,0.8098693759071117
no_clashes_with_protein,6-9,677,0.8951255539143279
no_clashes_with_protein,10+,249,0.963855421686747
no_clashes_with_organic_cofactors,0-2,519,0.1676300578034682
no_clashes_with_organic_cofactors,3-5,689,0.16110304789550073
no_clashes_with_organic_cofactors,6-9,677,0.11078286558345643
no_clashes_with_organic_cofactors,10+,249,0.24096385542168675
no_clashes_with_inorganic_cofactors,0-2,519,0.023121387283236993
no_clashes_with_inorganic_cofactors,3-5,689,0.036284470246734396
no_clashes_with_inorganic_cofactors,6-9,677,0.029542097488921712
no_clashes_with_inorganic_cofactors,10+,249,0.05622489959839357
no_volume_clash_with_protein,0-2,519,0.4682080924855491
no_volume_clash_with_protein,3-5,689,0.5094339622641509
no_volume_clash_with_protein,6-9,677,0.5731166912850812
no_volume_clash_with_protein,10+,249,0.6947791164658634
no_volume_clash_with_organic_cofactors,0-2,519,0.13680154142581888
no_volume_clash_with_organic_cofactors,3-5,689,0.08272859216255443
no_volume_clash_with_organic_cofactors,6-9,677,0.059084194977843424
no_volume_clash_with_organic_cofactors,10+,249,0.1285140562248996
no_volume_clash_with_inorganic_cofactors,0-2,519,0.011560693641618497
no_volume_clash_with_inorganic_cofactors,3-5,689,0.005805515239477504
no_volume_clash_with_inorganic_cofactors,6-9,677,0.007385524372230428
no_volume_clash_with_inorganic_cofactors,10+,249,0.004016064257028112
