check,stereo_bin,n,failure_rate
sp3_stereochemistry_preserved,0,893,0.0
sp3_stereochemistry_preserved,1,299,0.22073578595317725
sp3_stereochemistry_preserved,2,155,0.3096774193548387
sp3_stereochemistry_preserved,3+,787,0.43456162642947904
double_bond_stereochemistry_preserved,0,893,0.0167973124300112
double_bond_stereochemistry_preserved,1,299,0.016722408026755852
double_bond_stereochemistry_preserved,2,155,0.0
double_bond_stereochemistry_preserved,3+,787,0.012706480304955527
bond_lengths_within_bounds,0,893,0.11422172452407615
bond_lengths_within_bounds,1,299,0.13377926421404682
bond_lengths_within_bounds,2,155,0.16129032258064516
bond_lengths_within_bounds,3+,787,0.17662007623888182
bond_angles_within_bounds,0,893,0.11422172452407615
bond_angles_within_bounds,1,299,0.14715719063545152
bond_angles_within_bounds,2,155,0.16774193548387098
bond_angles_within_bounds,3+,787,0.1639135959339263
no_internal_clashes,0,893,0.19932810750279956
no_internal_clashes,1,299,0.2976588628762542
no_internal_clashes,2,155,0.3225806451612903
no_internal_clashes,3+,787,0.3697585768742058
aromatic_ring_flatness_passes,0,893,0.07950727883538634
aromatic_ring_flatness_passes,1,299,0.09698996655518395
aromatic_ring_flatness_passes,2,155,0.08387096774193549
aromatic_ring_flatness_passes,3+,787,0.05972045743329098
double_bond_flatness_passes,0,893,0.007838745800671893
double_bond_flatness_passes,1,299,0.013377926421404682
double_bond_flatness_passes,2,155,0.0
double_bond_flatness_passes,3+,787,0.008894536213468869
energy_ratio_within_threshold,0,893,0.22508398656215006
energy_ratio_within_threshold,1,299,0.3177257525083612
energy_ratio_within_threshold,2,155,0.3548387096774194
energy_ratio_within_threshold,3+,787,0.45235069885641677
no_clashes_with_protein,0,893,0.7726763717805151
no_clashes_with_protein,1,299,0.8093645484949833
no_clashes_with_protein,2,155,0.8516129032258064
no_clashes_with_protein,3+,787,0.9161372299872935
no_clashes_with_organic_cofactors,0,893,0.13773796192609183
no_clashes_with_organic_cofactors,1,299,0.2040133779264214
no_clashes_with_organic_cofactors,2,155,0.18064516129032257
no_clashes_with_organic_cofactors,3+,787,0.15374841168996187
no_clashes_with_inorganic_cofactors,0,893,0.022396416573348264
no_clashes_with_inorganic_cofactors,1,299,0.043478260869565216
no_clashes_with_inorganic_cofactors,2,155,0.05161290322580645
no_clashes_with_inorganic_cofactors,3+,787,0.03811944091486658
no_volume_clash_with_protein,0,893,0.48152295632698766
no_volume_clash_with_protein,1,299,0.5250836120401338
no_volume_clash_with_protein,2,155,0.535483870967742
no_volume_clash_with_protein,3+,787,0.6162642947903431
no_volume_clash_with_organic_cofactors,0,893,0.09182530795072788
no_volume_clash_with_organic_cofactors,1,299,0.12374581939799331
no_volume_clash_with_organic_cofactors,2,155,0.1032258064516129
no_volume_clash_with_organic_cofactors,3+,787,0.08259212198221093
no_volume_clash_with_inorganic_cofactors,0,893,0.005599104143337066
no_volume_clash_with_inorganic_cofactors,1,299,0.0
no_volume_clash_with_inorganic_cofactors,2,155,0.01935483870967742
no_volume_clash_with_inorganic_cofactors,3+,787,0.010165184243964422
