method,crystal_contact,n,protein_clash_failure
deepdock,True,103,0.912621359223301
deepdock,False,323,0.8513931888544891
diffdock,True,103,0.6116504854368932
diffdock,False,322,0.7049689440993789
equibind,True,103,0.9611650485436893
equibind,False,322,0.984472049689441
tankbind,True,104,0.7788461538461539
tankbind,False,323,0.8513931888544891
unimol,True,103,0.6893203883495146
unimol,False,323,0.8606811145510835
gold,True,102,0.029411764705882353
gold,False,322,0.049689440993788817
vina,True,104,0.0
vina,False,323,0.006191950464396285
