,mw,heavy_atoms,n_rotatable_bonds,rot_per_heavy_atom,fraction_csp3,n_rings,n_aromatic_rings,n_aliphatic_rings,largest_ring_size,n_stereocentres,n_amide_bonds,tpsa,clogp,hbd,hba,n_heteroatoms,n_halogens,formal_charge
mw,1.0,0.9855926985827572,0.7337380652052062,0.2291485594943381,0.06169150335239093,0.7422705350365262,0.5727290244301083,0.5182514251116788,0.4180878071082721,0.4204385415664044,0.3558615239163445,0.5705242748127887,0.1795013676583771,0.3396384172062951,0.6835791210716672,0.7822088768776765,0.2642700046751529,0.07307008001618481
heavy_atoms,0.9855926985827572,1.0,0.7054738928582975,0.17875507194352988,0.007213216603646019,0.8002178966110993,0.6384940175932692,0.523696374103216,0.45498458854612833,0.3692187744174172,0.3839339220074676,0.49587677687718296,0.2564155265709673,0.27038964338139154,0.6252875838634386,0.7019514668008044,0.25969886577701584,0.06303858992460804
n_rotatable_bonds,0.7337380652052062,0.7054738928582975,1.0,0.7794871474939267,0.24020784563302366,0.26756661466196724,0.2095022233874877,0.16738845842739153,-0.04526868476537882,0.32640695781278967,0.3019118736009443,0.5397617444325041,0.06124984181353123,0.40083964501747943,0.5301086434353527,0.6268506004540146,0.030001876271930968,0.08714908469181558
rot_per_heavy_atom,0.2291485594943381,0.17875507194352988,0.7794871474939267,1.0,0.349490057754771,-0.25999543268496833,-0.2196008287344846,-0.17497249782742147,-0.4477637073656396,0.17224369035875745,0.08611916058878002,0.3699485673520557,-0.15522126937202976,0.35626507424796344,0.2376152103354954,0.3181380031355742,-0.20090408065705234,0.07886073505346855
fraction_csp3,0.06169150335239093,0.007213216603646019,0.24020784563302366,0.349490057754771,1.0,-0.21408903751711864,-0.5504738930384625,0.4348373790415142,-0.24500305391712301,0.6516375400999652,-0.07166353220108689,0.3886825863335632,-0.5172120756896084,0.4945422095138049,0.37557639513321955,0.26544589676001246,-0.34963131797353275,0.029381490451003724
n_rings,0.7422705350365262,0.8002178966110993,0.26756661466196724,-0.25999543268496833,-0.21408903751711864,1.0,0.8341895320616061,0.5909610633078879,0.5647983075605747,0.16163099187796318,0.2526917100809014,0.14978160737540377,0.42342066825350766,-0.05368398859597959,0.38573998710357715,0.38397272809082583,0.30203159804551344,0.014493668001538543
n_aromatic_rings,0.5727290244301083,0.6384940175932692,0.2095022233874877,-0.2196008287344846,-0.5504738930384625,0.8341895320616061,1.0,0.09948192700750738,0.49690405295010537,-0.18866171348945987,0.19219983619735884,-0.006312790880038414,0.5514107699400062,-0.2259272590142077,0.18595650990628973,0.23796572571323998,0.3914125818171681,0.0013910841618470667
n_aliphatic_rings,0.5182514251116788,0.523696374103216,0.16738845842739153,-0.17497249782742147,0.4348373790415142,0.5909610633078879,0.09948192700750738,1.0,0.3715043272397187,0.6114620077853045,0.15075483999675515,0.3315814936254299,-0.1186379966970466,0.2804789327849067,0.5078486757255634,0.39489533525244597,-0.03959074232339159,0.005109904164555055
largest_ring_size,0.4180878071082721,0.45498458854612833,-0.04526868476537882,-0.4477637073656396,-0.24500305391712301,0.5647983075605747,0.49690405295010537,0.3715043272397187,1.0,0.1392448304956703,0.05707991358639571,0.120474341476192,0.1698460555964509,0.012659916873670796,0.3009063538502548,0.22226760935143797,0.13142188958418183,-0.013529061976898715
n_stereocentres,0.4204385415664044,0.3692187744174172,0.32640695781278967,0.17224369035875745,0.6516375400999652,0.16163099187796318,-0.18866171348945987,0.6114620077853045,0.1392448304956703,1.0,0.05480846053938702,0.6665618837222207,-0.5505217877981485,0.7055130890575463,0.668006702907878,0.5745932480571178,-0.23982325022288933,0.03616645867788435
