method,post_processing,method_class,n,produced,accurate,valid,accurate_and_valid,n_accurate,invalid_given_accurate
vina,energy minimization,classical,428,0.9789719626168224,0.48364485981308414,0.8294392523364486,0.4205607476635514,207,0.13043478260869565
gold,energy minimization,classical,428,0.9719626168224299,0.47897196261682246,0.7990654205607477,0.42289719626168226,205,0.11707317073170732
diffdock,energy minimization,deep learning,428,0.9742990654205608,0.3808411214953271,0.6495327102803738,0.3341121495327103,163,0.12269938650306748
unimol,energy minimization,deep learning,428,0.9766355140186916,0.2803738317757009,0.3598130841121495,0.17523364485981308,120,0.375
tankbind,energy minimization,deep learning,428,0.9766355140186916,0.1985981308411215,0.3341121495327103,0.1191588785046729,85,0.4
deepdock,energy minimization,deep learning,428,0.9766355140186916,0.19626168224299065,0.37850467289719625,0.12850467289719625,84,0.34523809523809523
equibind,energy minimization,deep learning,428,0.9719626168224299,0.053738317757009345,0.3247663551401869,0.04672897196261682,23,0.13043478260869565
vina,none,classical,428,1.0,0.5233644859813084,0.9742990654205608,0.5116822429906542,224,0.022321428571428572
gold,none,classical,428,0.9929906542056075,0.5116822429906542,0.9392523364485982,0.4766355140186916,219,0.0684931506849315
diffdock,none,deep learning,428,0.9953271028037384,0.37850467289719625,0.24065420560747663,0.13551401869158877,162,0.6419753086419753
unimol,none,deep learning,428,0.9976635514018691,0.22897196261682243,0.056074766355140186,0.018691588785046728,98,0.9183673469387755
deepdock,none,deep learning,428,0.9976635514018691,0.17757009345794392,0.08177570093457943,0.04672897196261682,76,0.7368421052631579
tankbind,none,deep learning,428,1.0,0.14953271028037382,0.04672897196261682,0.02570093457943925,64,0.828125
equibind,none,deep learning,428,0.9953271028037384,0.02570093457943925,0.009345794392523364,0.002336448598130841,11,0.9090909090909091
