method,descriptor_x,descriptor_y,n_ligands,spearman_rho
deepdock,mw,n_rotatable_bonds,427,0.7333311187016579
deepdock,n_stereocentres,clogp,427,-0.5523808199833347
diffdock,mw,n_rotatable_bonds,426,0.7326284041626927
diffdock,n_stereocentres,clogp,426,-0.5668091718943292
equibind,mw,n_rotatable_bonds,426,0.7317138867926989
equibind,n_stereocentres,clogp,426,-0.5590693388509697
tankbind,mw,n_rotatable_bonds,428,0.7337380652052062
tankbind,n_stereocentres,clogp,428,-0.5505217877981484
unimol,mw,n_rotatable_bonds,427,0.7328665241541553
unimol,n_stereocentres,clogp,427,-0.5521850170346989
gold,mw,n_rotatable_bonds,425,0.7416243672028009
gold,n_stereocentres,clogp,425,-0.5459922432530347
vina,mw,n_rotatable_bonds,428,0.7337380652052062
vina,n_stereocentres,clogp,428,-0.5505217877981484
