method_class,rings_bin,n,accurate,valid,accurate_and_valid,n_accurate,invalid_given_accurate
classical,0,82,0.5121951219512195,0.926829268292683,0.4878048780487805,42,0.047619047619047616
classical,1,150,0.5066666666666667,0.96,0.4866666666666667,76,0.039473684210526314
classical,2,120,0.5833333333333334,0.975,0.575,70,0.014285714285714285
classical,3,242,0.5289256198347108,0.9669421487603306,0.5082644628099173,128,0.0390625
classical,4+,262,0.4847328244274809,0.9465648854961832,0.45038167938931295,127,0.07086614173228346
deep learning,0,205,0.15609756097560976,0.08292682926829269,0.03414634146341464,32,0.78125
deep learning,1,375,0.21333333333333335,0.11466666666666667,0.056,80,0.7375
deep learning,2,300,0.21,0.10666666666666667,0.05333333333333334,63,0.746031746031746
deep learning,3,605,0.18677685950413223,0.07107438016528926,0.03471074380165289,113,0.8141592920353983
deep learning,4+,655,0.18778625954198475,0.07786259541984733,0.050381679389312976,123,0.7317073170731707
