method,check,n_eligible,n_fail,n_clusters,estimated,skip_reason
deepdock,docked_ligand_successfully_loaded,427,0,427,False,no_failures
deepdock,molecule_passes_rdkit_sanity_check,427,0,427,False,no_failures
deepdock,molecular_formula_preserved,427,0,427,False,no_failures
deepdock,molecular_bonds_preserved,427,0,427,False,no_failures
deepdock,sp3_stereochemistry_preserved,248,106,248,True,
deepdock,double_bond_stereochemistry_preserved,29,1,29,False,too_few_failures
deepdock,bond_lengths_within_bounds,427,0,427,False,no_failures
deepdock,bond_angles_within_bounds,427,0,427,False,no_failures
deepdock,no_internal_clashes,427,205,427,True,
deepdock,aromatic_ring_flatness_passes,339,0,339,False,no_failures
deepdock,double_bond_flatness_passes,10,0,10,False,no_failures
deepdock,energy_ratio_within_threshold,427,205,427,True,
deepdock,no_clashes_with_protein,427,370,427,True,
deepdock,no_clashes_with_organic_cofactors,187,32,187,True,
deepdock,no_clashes_with_inorganic_cofactors,187,12,187,False,too_few_failures
deepdock,no_volume_clash_with_protein,427,278,427,True,
deepdock,no_volume_clash_with_organic_cofactors,187,16,187,True,
deepdock,no_volume_clash_with_inorganic_cofactors,187,4,187,False,too_few_failures
diffdock,docked_ligand_successfully_loaded,426,0,426,False,no_failures
diffdock,molecule_passes_rdkit_sanity_check,426,0,426,False,no_failures
diffdock,molecular_formula_preserved,426,0,426,False,no_failures
diffdock,molecular_bonds_preserved,426,0,426,False,no_failures
diffdock,sp3_stereochemistry_preserved,247,0,247,False,no_failures
diffdock,double_bond_stereochemistry_preserved,28,6,28,False,too_few_failures
diffdock,bond_lengths_within_bounds,426,0,426,False,no_failures
diffdock,bond_angles_within_bounds,426,0,426,False,no_failures
diffdock,no_internal_clashes,426,25,426,True,
diffdock,aromatic_ring_flatness_passes,339,0,339,False,no_failures
diffdock,double_bond_flatness_passes,10,2,10,False,too_few_failures
diffdock,energy_ratio_within_threshold,426,26,426,True,
diffdock,no_clashes_with_protein,426,291,426,True,
diffdock,no_clashes_with_organic_cofactors,187,74,187,True,
diffdock,no_clashes_with_inorganic_cofactors,187,12,187,False,too_few_failures
diffdock,no_volume_clash_with_protein,426,83,426,True,
diffdock,no_volume_clash_with_organic_cofactors,187,52,187,True,
diffdock,no_volume_clash_with_inorganic_cofactors,187,3,187,False,too_few_failures
equibind,docked_ligand_successfully_loaded,426,0,426,False,no_failures
equibind,molecule_passes_rdkit_sanity_check,426,0,426,False,no_failures
equibind,molecular_formula_preserved,426,0,426,False,no_failures
equibind,molecular_bonds_preserved,426,0,426,False,no_failures
equibind,sp3_stereochemistry_preserved,248,0,248,False,no_failures
equibind,double_bond_stereochemistry_preserved,28,0,28,False,no_failures
equibind,bond_lengths_within_bounds,426,0,426,False,no_failures
equibind,bond_angles_within_bounds,426,0,426,False,no_failures
equibind,no_internal_clashes,426,86,426,True,
equibind,aromatic_ring_flatness_passes,338,0,338,False,no_failures
equibind,double_bond_flatness_passes,9,0,9,False,no_failures
equibind,energy_ratio_within_threshold,426,92,426,True,
equibind,no_clashes_with_protein,426,417,426,True,
equibind,no_clashes_with_organic_cofactors,185,56,185,True,
equibind,no_clashes_with_inorganic_cofactors,185,12,185,False,too_few_failures
equibind,no_volume_clash_with_protein,426,382,426,True,
equibind,no_volume_clash_with_organic_cofactors,185,32,185,True,
equibind,no_volume_clash_with_inorganic_cofactors,185,3,185,False,too_few_failures
tankbind,docked_ligand_successfully_loaded,428,0,428,False,no_failures
tankbind,molecule_passes_rdkit_sanity_check,428,0,428,False,no_failures
tankbind,molecular_formula_preserved,428,0,428,False,no_failures
tankbind,molecular_bonds_preserved,428,0,428,False,no_failures
tankbind,sp3_stereochemistry_preserved,249,181,249,True,
tankbind,double_bond_stereochemistry_preserved,29,17,29,False,too_few_ligands
tankbind,bond_lengths_within_bounds,428,37,428,True,
tankbind,bond_angles_within_bounds,428,17,428,True,
tankbind,no_internal_clashes,428,226,428,True,
tankbind,aromatic_ring_flatness_passes,340,71,340,True,
tankbind,double_bond_flatness_passes,10,9,10,False,too_few_failures
tankbind,energy_ratio_within_threshold,428,219,428,True,
tankbind,no_clashes_with_protein,428,357,428,True,
tankbind,no_clashes_with_organic_cofactors,187,81,187,True,
tankbind,no_clashes_with_inorganic_cofactors,187,19,187,True,
tankbind,no_volume_clash_with_protein,428,199,428,True,
tankbind,no_volume_clash_with_organic_cofactors,187,53,187,True,
tankbind,no_volume_clash_with_inorganic_cofactors,187,2,187,False,too_few_failures
unimol,docked_ligand_successfully_loaded,427,0,427,False,no_failures
unimol,molecule_passes_rdkit_sanity_check,427,0,427,False,no_failures
unimol,molecular_formula_preserved,427,0,427,False,no_failures
unimol,molecular_bonds_preserved,427,0,427,False,no_failures
unimol,sp3_stereochemistry_preserved,249,169,249,True,
unimol,double_bond_stereochemistry_preserved,28,6,28,False,too_few_failures
unimol,bond_lengths_within_bounds,427,269,427,True,
unimol,bond_angles_within_bounds,427,284,427,True,
unimol,no_internal_clashes,427,66,427,True,
unimol,aromatic_ring_flatness_passes,340,89,340,True,
unimol,double_bond_flatness_passes,10,7,10,False,too_few_failures
unimol,energy_ratio_within_threshold,427,165,427,True,
unimol,no_clashes_with_protein,427,350,427,True,
unimol,no_clashes_with_organic_cofactors,186,49,186,True,
unimol,no_clashes_with_inorganic_cofactors,186,11,186,False,too_few_failures
unimol,no_volume_clash_with_protein,427,213,427,True,
unimol,no_volume_clash_with_organic_cofactors,186,19,186,True,
unimol,no_volume_clash_with_inorganic_cofactors,186,2,186,False,too_few_failures
gold,docked_ligand_successfully_loaded,425,0,425,False,no_failures
gold,molecule_passes_rdkit_sanity_check,425,0,425,False,no_failures
gold,molecular_formula_preserved,425,0,425,False,no_failures
gold,molecular_bonds_preserved,425,0,425,False,no_failures
gold,sp3_stereochemistry_preserved,247,0,247,False,no_failures
gold,double_bond_stereochemistry_preserved,29,0,29,False,no_failures
gold,bond_lengths_within_bounds,425,0,425,False,no_failures
gold,bond_angles_within_bounds,425,0,425,False,no_failures
gold,no_internal_clashes,425,0,425,False,no_failures
gold,aromatic_ring_flatness_passes,340,0,340,False,no_failures
gold,double_bond_flatness_passes,10,0,10,False,no_failures
gold,energy_ratio_within_threshold,425,3,425,False,too_few_failures
gold,no_clashes_with_protein,425,19,425,True,
gold,no_clashes_with_organic_cofactors,185,0,185,False,no_failures
