method,rmsd_band,n,valid,median_rmsd
diffdock,"(0.0, 1.0]",62,0.6129032258064516,0.6804770873970021
diffdock,"(1.0, 2.0]",100,0.2,1.4182951504818204
diffdock,"(2.0, 3.0]",50,0.2,2.59731130973394
diffdock,"(3.0, 5.0]",73,0.1780821917808219,4.1687305073007535
diffdock,"(5.0, 10.0]",70,0.18571428571428572,6.764503676555994
diffdock,"(10.0, inf]",71,0.1267605633802817,18.229310189002
unimol,"(0.0, 1.0]",18,0.3333333333333333,0.8697662391518906
unimol,"(1.0, 2.0]",80,0.025,1.4986317879216557
unimol,"(2.0, 3.0]",81,0.06172839506172839,2.461828561658996
unimol,"(3.0, 5.0]",116,0.05172413793103448,3.8533523834213295
unimol,"(5.0, 10.0]",118,0.0423728813559322,6.491385687785325
unimol,"(10.0, inf]",14,0.0,11.57144437010961
deepdock,"(0.0, 1.0]",20,0.55,0.7165748823234155
deepdock,"(1.0, 2.0]",56,0.16071428571428573,1.5348847721875485
deepdock,"(2.0, 3.0]",48,0.125,2.5946724481104275
deepdock,"(3.0, 5.0]",103,0.06796116504854369,3.768618217736128
deepdock,"(5.0, 10.0]",185,0.010810810810810811,6.516529089937371
deepdock,"(10.0, inf]",15,0.0,10.880439209955563
tankbind,"(0.0, 1.0]",11,0.36363636363636365,0.9169526274568384
tankbind,"(1.0, 2.0]",53,0.1320754716981132,1.4622963298150196
tankbind,"(2.0, 3.0]",67,0.029850746268656716,2.569849202617451
tankbind,"(3.0, 5.0]",109,0.01834862385321101,3.790399870726042
tankbind,"(5.0, 10.0]",116,0.0,6.705488676467301
tankbind,"(10.0, inf]",72,0.06944444444444445,18.64771782630899
vina,"(0.0, 1.0]",147,1.0,0.6426388677054261
vina,"(1.0, 2.0]",77,0.935064935064935,1.4990900138301295
vina,"(2.0, 3.0]",42,0.9761904761904762,2.4679850674384447
vina,"(3.0, 5.0]",53,0.9622641509433962,3.85423772985799
vina,"(5.0, 10.0]",79,0.9620253164556962,7.018757091199492
vina,"(10.0, inf]",30,1.0,11.875316630687752
gold,"(0.0, 1.0]",147,0.9523809523809523,0.5472452224352992
gold,"(1.0, 2.0]",72,0.8888888888888888,1.4417470770724692
gold,"(2.0, 3.0]",40,0.95,2.3457414066402418
gold,"(3.0, 5.0]",43,0.9069767441860465,4.22457244829688
gold,"(5.0, 10.0]",84,0.9761904761904762,6.686033253339779
gold,"(10.0, inf]",39,1.0,12.548933487838717
